,building,day,end,original_time,room,start
3218,PAA,TTh,740,1130-1220,A118,690
3219,PAB,T,980,130-420,B280,810
3220,PAB,W,980,130-420,B280,810
3221,PAB,Th,980,130-420,B280,810
3222,PAB,F,980,130-420,B280,810
3223,PAT,MWF,800,1130-120,C231,690
3224,PAT,Th,1130,500-650P,C211,1020
3225,PAT,Th,1130,500-650P,C211,1020
3226,PAA,TTh,710,1030-1150,A110,630
3227,PAA,F,740,1130-1220,A110,690
3228,PAB,Th,1010,130-450,B248,810
3229,PAB,F,1010,130-450,B248,810
3230,PAA,M,920,130-320,A114,810
3231,PAA,T,980,230-420,A114,870
3232,PAA,W,920,130-320,A114,810
3233,PAA,Th,980,230-420,A114,870
3234,PAA,F,920,130-320,A114,810
3235,PAT,M,950,200-350,C211,840
3236,PAA,TTh,860,100-220,A114,780
3237,PAA,TTh,740,1100-1220,A114,660
3238,PAA,TTh,650,930-1050,A114,570
3239,PAA,M,680,930-1120,A114,570
3240,PAA,F,860,1230-220,A110,750
3241,PAA,MW,1250,700-850P,A110,1140
3242,PAB,MW,650,930-1050,B101,570
3243,PAA,MWF,740,1130-1220,A114,690
3244,PAA,TTh,1250,700-850P,A110,1140
3245,PAA,WF,950,230-350,A110,870
3246,PAA,M,1040,330-520,A102,930
3247,PAA,ThF,1070,400-550,A212,960
3248,PAT,F,1010,230-450,C421,870
3249,NPL,W,890,200-250,178,840
3250,MEB,W,920,230-320,102,870
3251,EEB,MW,680,1000-1120,105,600
3252,SMI,F,560,830-920,405,510
3253,SMI,F,620,930-1020,311,570
3254,SMI,F,620,930-1020,307,570
3255,SMI,F,680,1030-1120,307,630
3256,SAV,F,740,1130-1220,138,690
3257,SAV,F,800,1230-120,138,750
3258,SMI,MW,770,1130-1250,120,690
3259,AND,F,560,830-920,010,510
3260,AND,F,620,930-1020,010,570
3261,SMI,F,680,1030-1120,115,630
3262,SMI,F,680,1030-1120,311,630
3263,SMI,F,740,1130-1220,115,690
3264,SMI,F,740,1130-1220,307,690
3265,SMI,F,800,1230-120,313,750
3266,SMI,F,800,1230-120,307,750
3267,SMI,TTh,680,1000-1120,120,600
3268,SMI,F,560,830-920,407,510
3269,SMI,F,620,930-1020,407,570
3270,SMI,F,620,930-1020,309,570
3271,SMI,F,680,1030-1120,309,630
3272,SMI,F,680,1030-1120,305,630
3273,SMI,F,740,1130-1220,305,690
3274,SMI,F,740,1130-1220,309,690
3275,SMI,F,800,1230-120,309,750
3276,GWN,TTh,770,1130-1250,301,690
3277,GUG,F,680,1030-1120,204,630
3278,SAV,F,740,1130-1220,138,690
3279,GUG,F,800,1230-120,204,750
3280,SMI,F,800,1230-120,107,750
3281,GUG,TTh,680,1000-1120,220,600
3282,SMI,F,620,930-1020,107,570
3283,SMI,F,680,1030-1120,107,630
3284,SMI,F,740,1130-1220,311,690
3285,SMI,F,800,1230-120,311,750
3286,SAV,TTh,770,1130-1250,260,690
3287,SMI,F,560,830-920,313,510
3288,SMI,F,620,930-1020,313,570
3289,THO,F,680,1030-1120,335,630
3290,MEB,F,740,1130-1220,234,690
3291,MEB,F,740,1130-1220,237,690
3292,LOW,F,800,1230-120,219,750
3293,THO,TTh,590,830-950,101,510
3294,BLD,F,560,830-920,286,510
3295,BLD,F,620,930-1020,286,570
3296,BLD,F,680,1030-1120,392,630
3297,BLD,F,740,1130-1220,392,690
3298,SMI,MW,1040,330-520,105,930
3299,MEB,MW,1040,330-520,246,930
3300,SMI,TTh,620,830-1020,205,510
3301,MEB,W,560,830-920,243,510
3302,MEB,W,620,930-1020,242,570
3303,MEB,W,680,1030-1120,242,630
3304,MLR,TTh,680,1000-1120,301,600
3305,SMI,F,620,930-1020,405,570
3306,SMI,F,680,1030-1120,405,630
3307,JHN,TTh,770,1130-1250,102,690
3308,BLD,F,560,830-920,392,510
3309,BLD,F,620,930-1020,392,570
3310,CHL,F,680,1030-1120,101,630
3311,CHL,F,740,1130-1220,101,690
3312,DEM,F,740,1130-1220,124,690
3313,DEM,F,800,1230-120,124,750
3314,BAG,MWF,620,930-1020,131,570
3315,SMI,Th,560,830-920,107,510
3316,SAV,Th,560,830-920,130,510
3317,SMI,Th,620,930-1020,311,570
3318,SMI,Th,680,1030-1120,311,630
3319,MLR,Th,740,1130-1220,301,690
3320,ART,Th,740,1130-1220,006,690
3321,MEB,Th,800,1230-120,234,750
3322,SMI,Th,800,1230-120,309,750
3323,KNE,TTh,680,1000-1120,220,600
3324,SMI,W,620,930-1020,405,570
3325,SMI,W,680,1030-1120,405,630
3326,MGH,W,740,1130-1220,234,690
3327,MGH,W,800,1230-120,234,750
3328,SMI,MW,860,1230-220,107,750
3329,PAR,T,980,130-420,206,810
3330,PAR,MW,740,1030-1220,213,630
3331,MGH,MW,920,130-320,278,810
3332,THO,MW,1040,330-520,135,930
3333,SMI,TTh,920,130-320,205,810
3334,AND,MW,980,230-420,008,870
3335,GUG,MW,980,230-420,204,870
3336,CMU,MW,920,130-320,120,810
3337,CMU,F,620,930-1020,B006,570
3338,CMU,F,680,1030-1120,230,630
3339,SIG,F,740,1130-1220,228,690
3340,PAR,MW,860,1230-220,120,750
3341,MGH,MW,920,130-320,097,810
3342,SAV,T,980,330-420,141,930
3343,SAV,M,980,130-420,167,810
3344,LOW,TTh,1070,430-550P,101,990
3345,SAV,Th,980,130-420,141,810
3346,PAR,T,980,130-420,206,810
3347,SMI,T,980,130-420,111,810
3348,BAG,T,980,130-420,331A,810
3349,EEB,W,1160,430-720P,031,990
3350,MGH,W,980,130-420,291,810
3351,GLD,F,920,130-320,117,810
3352,PCH,T,1010,330-450,140E,930
3353,GTH,TTh,620,830-1020,315,510
3354,PCH,MW,710,1030-1150,140E,630
3355,PCH,M,1010,400-450,140E,960
3356,PCH,W,830,1230-150,140E,750
3357,PCH,Th,740,1000-1220,140E,600
3358,BRTC,W,590,830-950,103,510
3359,KNE,MTWThF,860,130-220,120,810
3360,KNE,MTWThF,680,1030-1120,120,630
3361,KNE,MTWThF,740,1130-1220,120,690
3362,KNE,MTWThF,740,1130-1220,120,690
3363,GUG,MTWTh,560,830-920,220,510
3364,MGH,F,560,830-920,284,510
3365,MGH,F,560,830-920,288,510
3366,BNS,F,560,830-920,115,510
3367,MGH,F,620,930-1020,284,570
3368,MGH,F,620,930-1020,288,570
3369,BNS,F,620,930-1020,115,570
3370,MGH,F,680,1030-1120,284,630
3371,MGH,F,680,1030-1120,288,630
3372,BNS,F,680,1030-1120,115,630
3373,MGH,F,740,1130-1220,284,690
3374,MGH,F,740,1130-1220,288,690
3375,BNS,F,740,1130-1220,115,690
3376,GWN,MWF,680,1030-1120,301,630
3377,PAA,T,560,830-920,A212,510
3378,PAA,T,620,930-1020,A212,570
3379,SAV,T,680,1030-1120,139,630
3380,PAR,T,740,1130-1220,313,690
3381,SWS,T,800,1230-120,032,750
3382,SWS,T,860,130-220,032,810
3383,MGH,T,920,230-320,242,870
3384,LOW,T,980,330-420,112,930
3385,KNE,TTh,800,1130-120,130,690
3386,ARC,TTh,680,1030-1120,G070,630
3387,BAG,Th,800,1130-120,260,690
3388,JHN,MTWTh,740,1130-1220,075,690
3389,MEB,F,680,1030-1120,243,630
3390,MEB,F,740,1130-1220,243,690
3391,MGH,F,800,1230-120,248,750
3392,MGH,F,860,130-220,248,810
3393,JHN,MTWTh,680,1030-1120,102,630
3394,GUG,F,560,830-920,204,510
3395,GUG,F,620,930-1020,204,570
3396,GLD,F,680,1030-1120,436,630
3397,GLD,F,740,1130-1220,436,690
3398,MLR,MTWTh,980,330-420,301,930
3399,BNS,F,620,930-1020,203,570
3400,BNS,F,680,1030-1120,203,630
3401,MEB,F,740,1130-1220,245,690
3402,MEB,F,800,1230-120,245,750
3403,MGH,F,860,130-220,288,810
3404,MGH,F,920,230-320,288,870
3405,GWN,MTWTh,620,930-1020,201,570
3406,MGH,F,680,1030-1120,030,630
3407,MGH,F,740,1130-1220,030,690
3408,MGH,F,800,1230-120,030,750
3409,MGH,F,860,130-220,030,810
3410,SMI,MWF,920,230-320,211,870
3411,DEN,T,620,930-1020,256,570
3412,DEN,T,680,1030-1120,256,630
3413,SAV,T,740,1130-1220,137,690
3414,SAV,T,800,1230-120,137,750
3415,GTH,MWF,680,930-1120,051,570
3416,GTH,MWF,740,1030-1220,057,630
3417,GTH,TTh,740,1030-1220,051,630
3418,GTH,TTh,860,1230-220,051,750
3419,JHN,MTWTh,860,130-220,075,810
3420,MGH,F,680,1030-1120,074,630
3421,MGH,F,740,1130-1220,074,690
3422,MGH,F,800,1230-120,074,750
3423,MGH,F,860,130-220,074,810
3424,GTH,MW,860,1230-220,057,750
3425,SMI,MW,800,1130-120,211,690
3426,SAV,F,680,1030-1120,136,630
3427,SAV,F,740,1130-1220,136,690
3428,DEN,F,800,1230-120,113,750
3429,DEN,F,860,130-220,113,810
3430,JHN,M,1040,330-520,022,930
3431,KNE,TTh,620,830-1020,110,510
3432,BAG,Th,860,130-220,108,810
3433,BAG,Th,920,230-320,108,870
3434,DEN,F,560,830-920,112,510
3435,DEN,F,620,930-1020,112,570
3436,DEN,F,680,1030-1120,259,630
3437,DEN,F,740,1130-1220,259,690
3438,MGH,MW,830,1230-150,295,750
3439,LOW,TTh,1070,330-550,205,930
3440,GLD,TTh,920,130-320,435,810
3441,SMI,TTh,620,830-1020,105,510
3442,SMI,TTh,680,930-1120,305,570
3443,SAV,MWF,890,130-250,138,810
3444,BNS,MW,620,830-1020,203,510
3445,BNS,MW,890,130-250,115,810
3446,MEB,TTh,860,1230-220,237,750
3447,DEN,TTh,860,1230-220,303,750
3448,MGH,MW,680,1030-1120,228,630
3449,DEN,T,950,230-350,303,870
3450,SAV,M,770,1130-1250,138,690
3451,SAV,W,770,1130-1250,138,690
3452,GTH,T,920,230-320,057,870
3453,GTH,TTh,1010,230-450,079,870
3454,PAA,TTh,1100,430-620P,A110,990
3455,SAV,Th,1040,230-520,169,870
3456,CHL,T,1010,130-450,015,810
3457,MGH,Th,920,130-320,030,810
3458,GLD,MW,920,130-320,435,810
3459,GTH,F,1010,230-450,315,870
3460,GTH,TTh,830,1230-150,211,750
3461,PCH,M,920,100-320,205,780
3462,PAA,W,1010,330-450,A114,930
3463,GTH,W,740,1130-1220,315,690
3464,GTH,T,620,930-1020,079,570
3465,GTH,T,830,100-150,057,780
3466,GTH,F,920,230-320,211,870
3467,GTH,F,830,1230-150,057,750
3468,GTH,Th,770,1200-1250,315,720
3469,GTH,T,800,1130-120,315,690
3470,GTH,T,920,230-320,315,870
3471,LOW,MTWThF,620,930-1020,117,570
3472,SMI,MTWThF,740,1130-1220,109,690
3473,MGH,MTWThF,560,830-920,085,510
3474,MGH,MWF,560,830-920,085,510
3475,ART,MTWThF,620,930-1020,004,570
3476,DEN,MTWThF,740,1130-1220,210,690
3477,SMI,MW,920,130-320,115,810
3478,SAV,MTWThF,560,830-920,162,510
3479,SAV,MWF,560,830-920,162,510
3480,MGH,MTWThF,560,830-920,097,510
3481,MGH,MWF,560,830-920,097,510
3482,SAV,MTWTh,620,930-1020,141,570
3483,SAV,MTWThF,620,930-1020,131,570
3484,THO,MTWThF,680,1030-1120,235,630
3485,MGH,MTWTh,860,130-220,389,810
3486,MGH,MTWTh,860,130-220,389,810
3487,SAV,TTh,980,230-420,131,870
3488,SAV,MTWTh,740,1130-1220,141,690
3489,MGH,MW,980,230-420,251,870
3490,SAV,TTh,980,230-420,166,870
3491,MGH,MTWTh,560,830-920,389,510
3492,SMI,TTh,860,1230-220,107,750
3493,DEN,MW,860,1230-220,259,750
3494,EEB,TTh,860,1230-220,031,750
3495,RAI,MW,860,1230-220,314,750
3496,SAV,Th,980,230-420,136,870
3497,RAI,F,740,1130-1220,314,690
3498,EEB,MTWThF,620,930-1020,025,570
3499,SIG,MTWThF,680,1030-1120,229,630
3500,DEN,MW,860,1230-220,256,750
3501,PDL,MTWThF,800,1230-120,A216,750
3502,SAV,MW,860,1230-220,168,750
3503,PDL,MTWThF,680,1030-1120,A216,630
3504,EEB,MTWThF,620,930-1020,026,570
3505,EEB,MTWThF,680,1030-1120,031,630
3506,MGH,MTWThF,740,1130-1220,271,690
3507,SIG,MTWTh,800,1230-120,224,750
3508,CHL,F,860,130-220,105,810
3509,THO,MTWThF,740,1130-1220,211,690
3510,THO,MTWThF,740,1130-1220,215,690
3511,MGH,W,680,1030-1120,253,630
3512,SMI,MW,920,130-320,304,810
3513,THO,MTWThF,620,930-1020,215,570
3514,DEN,MW,980,230-420,259,870
3515,THO,MTh,680,1030-1120,215,630
3516,SAV,TTh,1040,330-520,140,930
3517,SMI,MW,920,130-320,304,810
3518,THO,TTh,920,130-320,235,810
3519,CDH,TTh,860,1230-220,109,750
3520,SAV,Th,980,230-420,136,870
3521,LOW,TTh,980,230-420,114,870
3522,PDL,MTWThF,740,1130-1220,A216,690
3523,GWN,MWF,740,1130-1220,301,690
3524,CDH,T,560,830-920,115,510
3525,BNS,T,560,830-920,117,510
3526,LOW,T,620,930-1020,201,570
3527,GLD,T,620,930-1020,435,570
3528,OTB,TTh,680,1000-1120,014,600
3529,SAV,F,920,230-320,132,870
3530,SAV,F,800,1230-120,132,750
3531,SAV,F,860,130-220,132,810
3532,LOW,M,860,1130-220,117,690
3533,SMI,TTh,740,1030-1220,205,630
3534,SAV,MWF,620,930-1020,260,570
3535,THO,TTh,560,830-920,335,510
3536,THO,TTh,620,930-1020,335,570
3537,THO,TTh,560,830-920,334,510
3538,THO,TTh,620,930-1020,334,570
3539,THO,TTh,560,830-920,119,510
3540,THO,TTh,620,930-1020,119,570
3541,KNE,WF,620,930-1020,220,570
3542,KNE,WF,620,930-1020,220,570
3543,SAV,WF,560,830-920,117,510
3544,SAV,WF,680,1030-1120,117,630
3545,OTB,TTh,980,300-420,014,900
3546,EEB,F,800,1230-120,025,750
3547,GUG,F,860,130-220,204,810
3548,BNS,F,920,230-320,115,870
3549,ARC,TTh,920,130-320,147,810
3550,DEM,F,560,830-920,004,510
3551,DEM,F,620,930-1020,004,570
3552,DEM,F,800,1230-120,112,750
3553,DEM,F,860,130-220,012,810
3554,DEM,F,860,130-220,004,810
3555,DEM,F,920,230-320,004,870
3556,ARC,TTh,770,1130-1250,147,690
3557,LOW,W,560,830-920,201,510
3558,LOW,W,620,930-1020,201,570
3559,MOR,W,740,1130-1220,234,690
3560,MOR,W,800,1230-120,225,750
3561,CMU,W,740,1130-1220,226,690
3562,DEM,W,800,1230-120,024,750
3563,MGH,MWF,680,1030-1120,389,630
3564,DEN,Th,560,830-920,112,510
3565,SIG,Th,620,930-1020,224,570
3566,SAV,Th,680,1030-1120,166,630
3567,SMI,Th,740,1130-1220,304,690
3568,BAG,TTh,620,830-1020,154,510
3569,THO,W,560,830-920,325,510
3570,THO,W,620,930-1020,325,570
3571,THO,W,680,1030-1120,325,630
3572,SIG,TTh,920,130-320,134,810
3573,MGH,F,560,830-920,271,510
3574,EEB,F,620,930-1020,003,570
3575,EEB,F,560,830-920,003,510
3576,CDH,F,620,930-1020,125,570
3577,SMI,TTh,620,830-1020,205,510
3578,MEB,W,560,830-920,243,510
3579,MEB,W,620,930-1020,242,570
3580,MEB,W,680,1030-1120,242,630
3581,JHN,MWF,920,230-320,075,870
3582,EEB,T,920,230-320,025,870
3583,EEB,T,980,330-420,026,930
3584,EEB,T,1040,430-520P,025,990
3585,WFS,TTh,860,1230-220,201,750
3586,LOW,TTh,1040,330-520,222,930
3587,LOW,MW,980,300-420,116,900
3588,LOW,MW,860,1230-220,219,750
3589,LOW,W,920,130-320,114,810
3590,SMI,MW,860,1230-220,111,750
3591,SAV,TTh,980,230-420,245,870
3592,SAV,M,800,1230-120,409,750
3593,THO,MW,920,130-320,234,810
3594,THO,T,1040,330-520,334,930
3595,MOR,MW,950,230-350,234,870
3596,MGH,M,1130,500-650P,085,1020
3597,SAV,W,1160,530-720P,409,1050
3598,LOW,MTWThF,620,930-1020,115,570
3599,LOW,MTWThF,740,1130-1220,115,690
3600,LOW,MTWThF,680,1030-1120,115,630
3601,LOW,MTWThF,560,830-920,114,510
3602,LOW,MTWThF,620,930-1020,114,570
3603,LOW,MTWThF,620,930-1020,111,570
3604,LOW,MTWThF,800,1230-120,116,750
3605,LOW,MTWThF,560,830-920,111,510
3606,LOW,MTWThF,620,930-1020,112,570
3607,LOW,MTWThF,680,1030-1120,111,630
3608,LOW,MTWThF,740,1130-1220,114,690
3609,LOW,MTWThF,860,130-220,111,810
3610,LOW,MTWThF,560,830-920,112,510
3611,LOW,MTWThF,680,1030-1120,112,630
3612,LOW,MTWThF,740,1130-1220,112,690
3613,LOW,MTWThF,800,1230-120,112,750
3614,LOW,MTWThF,560,830-920,118,510
3615,LOW,MTWThF,620,930-1020,118,570
3616,LOW,MTWThF,800,1230-120,118,750
3617,LOW,MTWThF,560,830-920,113,510
3618,LOW,MTWThF,680,1030-1120,114,630
3619,LOW,MTWThF,800,1230-120,114,750
3620,DEN,MTWThF,680,1030-1120,157,630
3621,LOW,MTWThF,680,1030-1120,102,630
3622,LOW,MTWThF,800,1230-120,102,750
3623,LOW,MTWThF,620,930-1020,116,570
3624,LOW,MTWThF,740,1130-1220,116,690
3625,LOW,MW,920,130-320,118,810
3626,LOW,TTh,920,130-320,118,810
3627,LOW,TTh,1010,330-450,102,930
3628,DEN,MTWThF,740,1130-1220,157,690
3629,LOW,MTWThF,740,1130-1220,102,690
3630,MGH,MW,920,130-320,288,810
3631,CMU,MW,920,130-320,226,810
3632,DEN,TTh,860,1230-220,159,750
3633,SAV,MW,920,130-320,156,810
3634,LOW,MW,920,130-320,112,810
3635,DEN,TTh,980,230-420,159,870
3636,LOW,MW,920,130-320,106,810
3637,LOW,W,1040,230-520,102,870
3638,PAR,T,1040,230-520,313,870
3639,EGL,MW,950,230-350,001,870
3640,EGL,M,740,1030-1220,001,630
3641,PAA,TTh,860,100-220,A118,780
3642,EGL,TWTh,740,1130-1220,001,690
3643,SWS,M,620,830-1020,068,510
3644,SWS,W,620,830-1020,068,510
3645,SWS,W,1070,400-550,068,960
3646,SWS,W,860,1230-220,068,750
3647,SWS,M,860,1230-220,068,750
3648,SWS,M,1070,400-550,068,960
3649,EGL,MW,860,1230-220,001,750
3650,EGL,TTh,620,830-1020,001,510
3651,CDH,WF,860,1230-220,115,750
3652,EGL,WF,620,900-1020,001,540
3653,EGL,TTh,860,1230-220,001,750
3654,SWS,W,980,230-420,032,870
3655,SWS,Th,680,1030-1120,067,630
3656,SWS,Th,740,1130-1220,150,690
3657,EGL,TTh,710,1030-1150,111,630
3658,EGL,M,1070,500-550P,001,1020
3659,EGL,W,1070,500-550P,001,1020
3660,EGL,F,740,1130-1220,001,690
3661,SWS,TTh,620,900-1020,067,540
3662,CHCL,Th,920,1230-320,150,750
3663,SWS,F,590,830-950,067,510
3664,SWS,F,830,1230-150,067,750
3665,SWS,F,920,200-320,067,840
3666,SWS,F,1010,330-450,067,930
3667,SWS,F,1100,500-620P,067,1020
3668,EGL,T,1040,330-520,005,930
3669,SWS,F,830,1230-150,068,750
3670,SWS,F,920,200-320,068,840
3671,EGL,Th,830,100-150,111,780
3672,CHCL,W,830,900-150,342,540
3673,CHCL,M,860,1230-220,301,750
3674,CHCL,Th,1100,330-620,150,930
3675,PBB,M,980,100-420,374,780
3676,SAV,MWF,560,830-920,260,510
3677,THO,TTh,800,1230-120,334,750
3678,THO,TTh,860,130-220,135,810
3679,THO,TTh,800,1230-120,235,750
3680,THO,TTh,860,130-220,335,810
3681,THO,TTh,800,1230-120,234,750
3682,THO,TTh,860,130-220,211,810
3683,SAV,MWF,620,930-1020,260,570
3684,THO,TTh,560,830-920,335,510
3685,THO,TTh,620,930-1020,335,570
3686,THO,TTh,560,830-920,334,510
3687,THO,TTh,620,930-1020,334,570
3688,THO,TTh,560,830-920,119,510
3689,THO,TTh,620,930-1020,119,570
3690,MGH,MW,1010,330-450,030,930
3691,KNE,MWF,920,230-320,210,870
3692,MGH,TTh,980,330-420,287,930
3693,MGH,TTh,1040,430-520P,234,990
3694,MGH,TTh,980,330-420,238,930
3695,MGH,TTh,1040,430-520P,242,990
3696,MGH,TTh,980,330-420,228,930
3697,MGH,TTh,1040,430-520P,228,990
3698,LOW,MW,740,1130-1220,101,690
3699,MLR,MWThF,920,230-320,301,870
3700,CMU,T,560,830-920,B027,510
3701,CMU,T,620,930-1020,B027,570
3702,CMU,T,860,130-220,B027,810
3703,CMU,T,920,230-320,B027,870
3704,MEB,MWF,620,930-1020,246,570
3705,SAV,MWF,680,1030-1120,260,630
3706,SOCC,Th,1100,430-620P,221,990
3707,THO,MW,920,230-320,325,870
3708,MEB,MWF,740,1130-1220,242,690
3709,ARC,MWF,620,930-1020,160,570
3710,JHN,TTh,950,230-350,175,870
3711,CMU,F,800,1230-120,228,750
3712,CMU,F,860,130-220,228,810
3713,MUE,MWF,680,1030-1120,153,630
3714,LOW,TTh,950,230-350,101,870
3715,LOW,MWF,740,1130-1220,118,690
3716,LOW,TTh,830,1230-150,205,750
3717,MOR,MW,950,230-350,234,870
3718,AND,TTh,680,1000-1120,008,600
3719,SOCC,MW,860,130-220,301,810
3720,SAV,W,920,130-320,167,810
3721,MGH,Th,890,200-250,097,840
3722,MGH,MWF,620,930-1020,253,570
3723,MGH,W,560,830-920,255,510
3724,MGH,F,560,830-920,253,510
3725,LOW,TTh,710,1030-1150,118,630
3726,DEN,MWF,680,1030-1120,112,630
3727,JHN,F,1040,330-520,175,930
3728,PDL,Th,680,930-1120,C301,570
3729,ARC,W,680,1030-1120,140,630
3730,KNE,TTh,1010,330-450,130,930
3731,KNE,TTh,1010,330-450,130,930
3732,ARC,T,1010,400-450,147,960
3733,GLD,F,1070,330-550,110,930
3734,GLD,TTh,1100,530-620P,435,1050
3735,GLD,TTh,1160,630-720P,435,1110
3736,THO,TTh,920,130-320,101,810
3737,GLD,Th,830,1230-150,102,750
3738,GLD,Th,710,930-1150,132,570
3739,ARC,MWF,620,930-1020,147,570
3740,ARC,MWF,620,930-1020,147,570
3741,ARC,F,710,1030-1150,140,630
3742,GLD,MW,950,130-350,102,810
3743,GLD,T,1220,530-820P,114,1050
3744,GLD,Th,1220,530-820P,114,1050
3745,GLD,T,1250,600-850P,208J,1080
3746,GLD,TTh,1130,500-650P,007F,1020
3747,GLD,TTh,1010,330-450,007F,930
3748,GLD,T,1310,700-950P,007F,1140
3749,GLD,TTh,1130,530-650P,100,1050
3750,GLD,MW,620,830-1020,142,510
3751,GLD,MW,710,1000-1150,137,600
3752,GLD,M,1250,600-850P,208J,1080
3753,GLD,TTh,680,1000-1120,102,600
3754,BNS,W,710,1000-1150,115,600
3755,GLD,TTh,890,130-250,100,810
3756,GLD,TTh,620,900-1020,110,540
3757,ARC,T,1010,200-450,110,840
3758,GLD,MF,740,1030-1220,100,630
3759,ARC,M,1250,600-850P,160,1080
3760,GLD,TTh,710,1030-1150,007F,630
3761,GLD,TTh,1040,330-520,322,930
3762,GLD,TTh,1010,330-450,435,930
3763,GLD,T,710,930-1150,132,570
3764,GLD,T,890,1230-250,132,750
3765,GLD,MW,620,830-1020,142,510
3766,GLD,TTh,1130,530-650P,100,1050
3767,ARC,MWF,710,1030-1150,160,630
3768,GLD,F,800,1230-120,435,750
3769,ARC,Th,1250,600-850P,110,1080
3770,PAA,Th,1010,330-450,A118,930
3771,RAI,T,1010,330-450,121,930
3772,CDH,T,1010,330-450,139,930
3773,CDH,T,1010,330-450,135,930
3774,GLD,MWF,1040,130-520,148,810
3775,GLD,MWF,950,130-350,148B,810
3776,GLD,MWF,1040,130-520,148,810
3777,GLD,T,800,1030-120,442,630
3778,GLD,Th,800,1030-120,442,630
3779,GLD,MWF,950,130-350,148B,810
3780,GLD,M,1070,300-550,007F,900
3781,GLD,MW,740,1100-1220,007F,660
3782,MOR,TTh,1010,330-450,230,930
3783,MOR,M,860,1230-220,225,750
3784,GLD,W,1160,530-720P,110,1050
3785,SIG,TTh,620,830-1020,134,510
3786,GLD,TTh,710,1030-1150,322,630
3787,NAN,MW,1070,430-550P,181,990
3788,GLD,MW,740,1030-1220,110,630
3789,CDH,MW,740,1030-1220,101,630
3790,JHN,T,890,100-250,102,780
3791,DEN,W,980,230-420,303,870
3792,MGH,W,800,1230-120,231,750
3793,GLD,T,620,830-1020,007F,510
3794,GLD,Th,620,830-1020,007F,510
3795,GLD,TTh,1010,330-450,110,930
3796,GLD,MW,590,830-950,114,510
3797,MEB,TTh,1010,330-450,234,930
3798,ARC,M,1250,600-850P,160,1080
3799,ARC,Th,1250,600-850P,G070,1080
3800,ARC,W,1250,600-850P,160,1080
3801,ARC,T,1250,600-850P,160,1080
3802,GLD,M,1040,430-520P,110,990
3803,GLD,MWF,680,1000-1120,322,600
3804,GLD,MWF,1040,130-520,312A,810
3805,GLD,MWF,1040,130-520,312B,810
3806,GLD,TTh,1160,600-720P,110,1080
3807,GLD,TTh,1010,330-450,114,930
3808,GLD,TTh,680,1000-1120,114,600
3809,GLD,MWF,770,1130-1250,322,690
3810,GLD,MWF,1040,130-520,312C,810
3811,GLD,MWF,1040,130-520,312C,810
3812,GLD,MW,680,1000-1120,440,600
3813,GLD,MW,680,1000-1120,208J,600
3814,GLD,TTh,920,200-320,007F,840
3815,GLD,Th,1220,530-820P,139,1050
3816,GLD,W,1220,530-820P,100,1050
3817,GLD,MWF,1040,130-520,312D,810
3818,GLD,MWF,1040,130-520,312D,810
3819,GLD,MWF,1040,130-520,106,810
3820,GLD,MWF,1040,130-520,106,810
3821,GLD,MWF,1040,130-520,312E,810
3822,GLD,MWF,1040,130-520,312E,810
3823,ARC,TTh,680,1000-1120,140,600
3824,GLD,TTh,800,1200-120,100,720
3825,GLD,MF,800,1200-120,208J,720
3826,GLD,MWF,1040,130-520,312F,810
3827,GLD,W,1220,530-820P,100,1050
3828,GLD,Th,1250,600-850P,440,1080
3829,GLD,M,590,900-950,208J,540
3830,FSH,TTh,710,1030-1150,107,630
3831,GLD,MW,770,1130-1250,440,690
3832,GLD,MW,890,130-250,208J,810
3833,ARC,T,620,830-1020,160,510
3834,GLD,TTh,710,1030-1150,435,630
3835,GLD,Th,1040,230-520,440,870
3836,SMI,T,1040,230-520,307,870
3837,GLD,TTh,710,1030-1150,100,630
3838,GLD,T,1250,600-850P,322,1080
3839,GLD,TTh,890,130-250,208J,810
3840,GLD,TTh,1070,430-550P,208J,990
3841,GLD,TTh,980,300-420,208J,900
3842,GLD,TThF,770,1030-1250,416,630
3843,GLD,Th,1250,600-850P,142,1080
3844,GLD,TTh,590,830-950,100,510
3845,GLD,TTh,770,1030-1250,110,630
3846,GLD,MW,620,830-1020,110,510
3847,GLD,MW,620,830-1020,110,510
3848,GLD,MW,620,830-1020,100,510
3849,GLD,MW,620,830-1020,100,510
3850,GLD,F,620,830-1020,110,510
3851,GLD,F,620,830-1020,114,510
3852,GLD,T,620,900-1020,436,540
3853,GLD,MWF,920,130-320,110,810
3854,GLD,MWF,920,130-320,110,810
3855,GLD,W,620,830-1020,435,510
3856,GLD,MW,770,1030-1250,102,630
3857,GLD,M,980,330-420,114,930
3858,GLD,W,1040,330-520,007F,930
3859,GLD,F,1040,330-520,007F,930
3860,GLD,MW,710,1000-1150,114,600
3861,GLD,TTh,1040,330-520,100,930
3862,GLD,F,800,1200-120,110,720
3863,SIG,MW,1130,600-650P,229,1080
3864,GLD,TTh,1130,530-650P,102,1050
3865,GLD,MW,920,130-320,114,810
3866,GLD,M,980,330-420,114,930
3867,GLD,W,1040,330-520,007F,930
3868,GLD,F,1040,330-520,007F,930
3869,GLD,MW,710,1000-1150,114,600
3870,GLD,TTh,1130,300-650,416,900
3871,GLD,MW,1040,130-520,416,810
3872,GLD,TTh,890,130-250,110,810
3873,GLD,TThF,770,1030-1250,416,630
