,building,day,end,original_time,room,start
1903,PAR,F,860,130-220,310,810
1904,DEN,T,680,1030-1120,210,630
1905,HSA,W,980,330-420,A204C,930
1906,MGH,F,860,130-220,284,810
1907,SAV,W,920,130-320,408,810
1908,BAG,M,980,330-420,106,930
1909,LSB,Th,980,330-420,119,930
1910,BAG,Th,860,130-220,331A,810
1911,LOW,M,980,330-420,217,930
1912,MEB,T,800,1230-120,251,750
1913,SIG,M,860,130-220,230,810
1914,THO,W,560,830-920,331,510
1915,MGH,W,680,1030-1120,288,630
1916,DEN,T,620,930-1020,113,570
1917,MEB,M,740,1130-1220,237,690
1918,LOW,Th,680,1030-1120,113,630
1919,ART,F,800,1230-120,004,750
1920,LOW,M,740,1130-1220,220,690
1921,LOW,M,920,230-320,115,870
1922,CMU,W,680,1030-1120,243,630
1923,LOW,Th,680,1030-1120,117,630
1924,RAI,F,620,930-1020,107,570
1925,MEB,W,800,1230-120,237,750
1926,DEN,T,800,1230-120,113,750
1927,MGH,W,800,1230-120,082A,750
1928,BLD,M,800,1230-120,392,750
1929,SAV,T,680,1030-1120,136,630
1930,THO,M,920,230-320,334,870
1931,MEB,M,920,230-320,250,870
1932,THO,T,680,1030-1120,234,630
1933,SMI,T,680,1030-1120,311,630
1934,LOW,W,800,1230-120,115,750
1935,MEB,W,740,1130-1220,103,690
1936,MEB,W,920,230-320,248,870
1937,SMI,Th,620,930-1020,115,570
1938,SAV,T,680,1030-1120,136,630
1939,PAR,W,560,830-920,313,510
1940,LOW,F,800,1230-120,113,750
1941,CMU,M,680,1030-1120,243,630
1942,MGH,T,620,930-1020,248,570
1943,THO,W,740,1130-1220,134,690
1944,LOW,F,680,1030-1120,116,630
1945,THO,F,620,930-1020,231,570
1946,MGH,W,620,930-1020,251,570
1947,LOW,M,740,1130-1220,217,690
1948,THO,Th,740,1130-1220,231,690
1949,MGH,W,740,1130-1220,287,690
1950,LOW,F,740,1130-1220,113,690
1951,LOW,M,920,230-320,219,870
1952,PAR,M,920,230-320,213,870
1953,MGH,T,860,130-220,284,810
1954,CDH,M,800,1230-120,128,750
1955,THO,Th,860,130-220,231,810
1956,SMI,Th,620,930-1020,107,570
1957,MGH,T,980,330-420,288,930
1958,THO,T,620,930-1020,234,570
1959,SAV,T,920,230-320,136,870
1960,THO,Th,740,1130-1220,335,690
1961,THO,T,740,1130-1220,234,690
1962,PAA,F,740,1130-1220,A212,690
1963,DEN,Th,860,130-220,111,810
1964,PAR,F,740,1130-1220,213,690
1965,PAR,W,740,1130-1220,313,690
1966,LOW,F,800,1230-120,115,750
1967,EEB,M,740,1130-1220,054,690
1968,SAV,M,740,1130-1220,132,690
1969,BAG,M,980,330-420,108,930
1970,MGH,M,680,1030-1120,082A,630
1971,LOW,F,680,1030-1120,118,630
1972,JHN,T,860,130-220,026,810
1973,ART,F,560,830-920,006,510
1974,LOW,T,740,1130-1220,117,690
1975,MGH,F,680,1030-1120,248,630
1976,LOW,M,620,930-1020,220,570
1977,PAA,W,560,830-920,A212,510
1978,PAR,M,740,1130-1220,313,690
1979,MUS,Th,800,1230-120,219,750
1980,LOW,Th,860,130-220,114,810
1981,PAB,M,740,1130-1220,B164,690
1982,THO,T,620,930-1020,235,570
1983,MGH,T,860,130-220,242,810
1984,RAI,W,860,130-220,116,810
1985,PAR,F,740,1130-1220,313,690
1986,THO,Th,800,1230-120,331,750
1987,LOW,T,860,130-220,114,810
1988,SAV,Th,680,1030-1120,136,630
1989,LOW,F,800,1230-120,117,750
1990,PAR,F,680,1030-1120,213,630
1991,MGH,M,800,1230-120,248,750
1992,EEB,W,800,1230-120,025,750
1993,BLD,M,860,130-220,392,810
1994,LOW,M,680,1030-1120,118,630
1995,MGH,M,680,1030-1120,288,630
1996,EEB,T,800,1230-120,025,750
1997,BLD,W,800,1230-120,392,750
1998,BAG,W,860,130-220,331A,810
1999,PAR,Th,560,830-920,313,510
2000,ART,M,680,1030-1120,004,630
2001,MEB,Th,800,1230-120,251,750
2002,PAB,M,860,130-220,B164,810
2003,SMI,Th,860,130-220,115,810
2004,LOW,F,920,230-320,114,870
2005,MGH,T,560,830-920,082A,510
2006,ART,Th,800,1230-120,006,750
2007,PAR,Th,680,1030-1120,213,630
2008,MEB,M,920,230-320,243,870
2009,LOW,F,860,130-220,113,810
2010,LOW,F,920,230-320,118,870
2011,BAG,T,680,1030-1120,331A,630
2012,THO,F,620,930-1020,331,570
2013,ART,T,860,130-220,006,810
2014,MGH,F,800,1230-120,238,750
2015,LOW,W,860,130-220,117,810
2016,PAB,M,620,930-1020,B164,570
2017,LOW,W,680,1030-1120,118,630
2018,MGH,T,920,230-320,228,870
2019,BAG,F,620,930-1020,331A,570
2020,MGH,M,800,1230-120,074,750
2021,CDH,Th,740,1130-1220,141,690
2022,MEB,W,920,230-320,243,870
2023,LOW,W,860,130-220,115,810
2024,PAB,M,860,130-220,B109,810
2025,LOW,W,680,1030-1120,116,630
2026,DEN,W,920,230-320,212,870
2027,EEB,W,800,1230-120,025,750
2028,SMI,Th,800,1230-120,311,750
2029,MEB,T,740,1130-1220,251,690
2030,MGH,W,860,130-220,284,810
2031,SWS,Th,740,1130-1220,B012,690
2032,MGH,W,680,1030-1120,074,630
2033,PAB,M,740,1130-1220,B109,690
2034,CDH,Th,680,1030-1120,110B,630
2035,MGH,M,860,130-220,248,810
2036,LOW,M,800,1230-120,113,750
2037,MGH,W,620,930-1020,284,570
2038,MGH,M,740,1130-1220,288,690
2039,SMI,W,860,130-220,313,810
2040,MEB,F,680,1030-1120,237,630
2041,EEB,T,620,930-1020,054,570
2042,MGH,T,620,930-1020,242,570
2043,SMI,Th,800,1230-120,404,750
2044,LOW,F,560,830-920,115,510
2045,LOW,M,860,130-220,101,810
2046,LOW,M,860,130-220,101,810
2047,DEN,W,920,230-320,113,870
2048,LOW,M,680,1030-1120,116,630
2049,CDH,Th,980,330-420,110B,930
2050,CDH,Th,980,330-420,110A,930
2051,ART,Th,980,330-420,006,930
2052,LOW,Th,920,230-320,117,870
2053,MEB,Th,920,230-320,234,870
2054,SMI,Th,920,230-320,107,870
2055,CLK,Th,1040,430-520P,120,990
2056,PAR,Th,980,330-420,313,930
2057,MGH,Th,1040,430-520P,074,990
2058,MEB,Th,1040,430-520P,237,990
2059,MEB,Th,980,330-420,251,930
2060,MGH,Th,980,330-420,242,930
2061,SAV,Th,980,330-420,130,930
2062,PAB,Th,1040,430-520P,B164,990
2063,PAB,Th,1040,430-520P,B109,990
2064,THO,Th,980,330-420,234,930
2065,MGH,Th,1040,430-520P,284,990
2066,LOW,Th,1040,430-520P,117,990
2067,SMI,Th,980,330-420,313,930
2068,PCAR,Th,980,330-420,395,930
2069,LOW,Th,1040,430-520P,116,990
2070,LOW,Th,1040,430-520P,115,990
2071,LOW,Th,1040,430-520P,112,990
2072,LOW,Th,1040,430-520P,111,990
2073,LOW,Th,1040,430-520P,114,990
2074,MEB,Th,980,330-420,243,930
2075,EEB,Th,1040,430-520P,054,990
2076,CMU,Th,1040,430-520P,243,990
2077,BAG,Th,1040,430-520P,331A,990
2078,MEB,Th,980,330-420,237,930
2079,THO,Th,1040,430-520P,231,990
2080,CDH,Th,980,330-420,141,930
2081,SAV,Th,1040,430-520P,164,990
2082,SMI,Th,980,330-420,105,930
2083,MGH,Th,980,330-420,074,930
2084,MEB,Th,920,230-320,235,870
2085,ART,Th,980,330-420,317,930
2086,PAR,Th,1040,430-520P,213,990
2087,SIG,Th,980,330-420,228,930
2088,MGH,Th,1040,430-520P,288,990
2089,CHL,Th,920,230-320,101,870
2090,LOW,Th,920,230-320,115,870
2091,MGH,Th,920,230-320,082A,870
2092,THO,Th,920,230-320,211,870
2093,MGH,MW,800,1230-120,287,750
2094,MGH,MW,920,230-320,287,870
2095,MGH,TTh,680,1030-1120,228,630
2096,MGH,TTh,800,1230-120,242,750
2097,SMI,TTh,920,230-320,311,870
2098,PAA,TTh,860,130-220,A102,810
2099,PAA,TTh,860,130-220,A102,810
2100,PCAR,W,1010,330-450,490,930
2101,SAV,F,680,1030-1120,131,630
2102,SMI,W,860,130-220,120,810
2103,SMI,W,860,130-220,120,810
2104,DEN,F,620,930-1020,256,570
2105,DEM,M,920,130-320,126,810
2106,CMU,TTh,980,300-420,326,900
2107,CMU,TTh,980,300-420,326,900
2108,PAR,W,950,300-350,212,900
2109,GLD,Th,740,1130-1220,114,690
2110,MGH,M,620,830-1020,254,510
2111,THO,MW,620,830-1020,101,510
